latitude,longitude,gas,humidity,temperature
12.90496,77.39337,0.4164,52,28
12.90396,77.29572,0.4164,52,28
12.90342,77.30567,0.4197,52,28
12.90423,77.20573,0.224,52,27
12.90432,77.20583,0.2197,53,28
12.80496,77.83765,0.2176,52,27
12.80416,77.39547,0.2164,52,27
12.94722,77.48857,0.2197,52,27
12.39274,77.30477,0.2176,52,27
12.32042,77.30577,0.2221,54,26
12.39267,77.3759,0.2164,54,26
12.30535,77.23905,0.2197,54,26
12.23684,77.49236,0.2176,54,26
12.30577,77.43592,0.2221,52,28
12.30573,77.64832,0.2236,52,28
30.240455,-97.817713,0.1885,57,29.8
30.240455,-97.817713,0.192,57,29.8
30.240455,-97.817713,0.1885,57,29.8
30.240455,-97.817713,0.1873,56,30
30.240455,-97.817713,0.1881,56,30.2
30.240455,-97.817713,0.1924,56,30.2
30.240455,-97.817713,0.1868,56,30.2
30.240455,-97.817713,0.1896,56,30.2
30.240455,-97.817713,0.1893,56,30.2
30.240455,-97.817713,0.1873,56,30.2
30.240455,-97.817713,0.1881,56,30.2
30.240455,-97.817713,0.1912,56,30.2
30.240455,-97.817713,0.1885,56,30.2
30.240455,-97.817713,0.1901,56,30.2
30.240455,-97.817713,0.1853,56,30.2
30.240455,-97.817713,0.1897,56,30.2
30.240455,-97.817713,0.1901,56,30.2
30.240455,-97.817713,0.1889,58,29.3
30.240455,-97.817713,0.1889,58,29.3
30.240455,-97.817713,0.1889,58,29.3
30.240455,-97.817713,0.1889,58,29.3
30.240455,-97.817713,0.1921,58,29.3
30.240455,-97.817713,0.1921,58,29.3
30.240455,-97.817713,0.1921,58,29.3
30.240455,-97.817713,0.1921,59,29.3
30.240455,-97.817713,0.1905,59,29.3
30.240455,-97.817713,0.1905,59,29.3
30.240455,-97.817713,0.1905,59,29.3
30.240455,-97.817713,0.1905,59,29.3
30.240455,-97.817713,0.1917,59,29.3
30.240455,-97.817713,0.1917,59,29.3
30.240455,-97.817713,0.1917,59,29.3
30.240455,-97.817713,0.1917,59,29.3
30.240455,-97.817713,0.1949,59,29.3
30.240455,-97.817713,0.1949,59,29.3
30.240455,-97.817713,0.1949,59,29.3
30.240455,-97.817713,0.1949,59,29.3
30.240455,-97.817713,0.1929,59,29.3
30.240455,-97.817713,0.1929,59,29.3
30.240455,-97.817713,0.1929,59,29.3
30.240455,-97.817713,0.1956,59,29.3
30.240455,-97.817713,0.1977,59,29.3
30.240455,-97.817713,0.196,59,29.3
